#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-C540C3C7B79F9DC-2DA877D56FA84C0F
#datatype	hitsFull Results
#status	0
#Start time	2023-08-25T05:38:33	Run time	0:00:00:29
#status	Warning: Too many queries.	msg	Error(s) occurred during search, the result may be incomplete

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#3 - >Gracilinanus_agilis_1	non-specific	320175	592	836	1.25034e-16	80.6821	cd15047	7tmC_GABA-B-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380593	76	297	2.81904e-14	75.7452	cd06370	PBP1_SAP_GC-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380565	81	243	1.07822e-11	67.1662	cd06342	PBP1_ABC_LIVBP-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380556	81	243	2.48314e-11	66.0319	cd06333	PBP1_ABC_RPA1789-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380639	140	316	5.97143e-11	64.5473	cd19984	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	223755	81	251	1.66247e-10	63.6121	COG0683	LivK	C	cl43238
Q#3 - >Gracilinanus_agilis_1	superfamily	223755	81	251	1.66247e-10	63.6121	cl43238	LivK superfamily	C	 - 
Q#3 - >Gracilinanus_agilis_1	non-specific	380575	80	303	1.50004e-09	60.8322	cd06352	PBP1_NPR_GC-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380602	139	316	1.92426e-09	60.4301	cd06379	PBP1_iGluR_NMDA_NR1	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380570	81	220	2.13467e-09	60.2487	cd06347	PBP1_ABC_LivK_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380563	81	256	3.35826e-09	59.4949	cd06340	PBP1_ABC_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320404	592	802	2.31477e-08	55.8965	cd15277	7tmC_RAIG3_GPRC5C	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380567	138	253	1.16538e-07	54.5388	cd06344	PBP1_ABC_HAAT-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380635	139	224	1.27806e-07	54.536	cd19980	PBP1_ABC_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320420	592	837	2.372e-07	52.9861	cd15293	7tmC_GPR158-like	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380558	139	225	8.20185e-07	52.2262	cd06335	PBP1_ABC_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380640	81	306	4.05571e-06	49.9664	cd19985	PBP1_ABC_HAAT-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380641	81	225	5.68773e-06	49.1622	cd19986	PBP1_ABC_HAAT-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380636	81	235	7.05594e-06	48.8264	cd19981	PBP1_ABC_HAAT-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380477	110	311	9.46308e-06	48.4191	cd01391	Periplasmic_Binding_Protein_type1	 - 	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380643	140	228	1.61582e-05	47.656	cd19988	PBP1_ABC_HAAT-like	NC	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380566	142	237	6.78187e-05	46.0223	cd06343	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	433225	81	235	8.62909e-05	45.7272	pfam13458	Peripla_BP_6	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380568	81	251	0.000286128	44.1781	cd06345	PBP1_ABC_ligand_binding-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320171	590	721	0.000298686	43.3235	cd15043	7tmC_RAIG_GPRC5	C	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380553	81	228	0.000565337	42.9328	cd06330	PBP1_As_SBP-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320170	595	837	0.000618972	42.4062	cd15042	7tmC_Boss	 - 	cl28897
Q#3 - >Gracilinanus_agilis_1	non-specific	380590	163	224	0.00086388	42.6107	cd06367	PBP1_iGluR_NMDA	NC	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380638	139	228	0.00242159	41.0301	cd19983	PBP1_ABC_HAAT-like	NC	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	380644	81	236	0.00260603	40.7227	cd19989	PBP1_SBP-like	C	cl10011
Q#3 - >Gracilinanus_agilis_1	non-specific	320406	592	721	0.00484956	39.7494	cd15279	7tmC_RAIG1_4_GPRC5A_D	C	cl28897
Q#4 - >Monodelphis_domestica_1	specific	380584	37	503	0	629.403	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	superfamily	447875	37	503	0	629.403	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#4 - >Monodelphis_domestica_1	specific	320408	589	838	1.70065e-140	418.41	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	superfamily	452889	589	838	1.70065e-140	418.41	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#4 - >Monodelphis_domestica_1	non-specific	320172	590	838	5.14045e-105	325.963	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380586	31	476	1.0944e-104	331.579	cd06363	PBP1_taste_receptor	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380587	37	492	2.10501e-95	308.802	cd06364	PBP1_CaSR	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380573	37	342	4.65915e-91	292.662	cd06350	PBP1_GPCR_family_C-like	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380585	34	474	9.08503e-77	258.377	cd06362	PBP1_mGluR	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320410	592	837	1.90576e-71	236.404	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380588	37	476	8.4497e-70	239.467	cd06365	PBP1_pheromone_receptor	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	specific	425415	584	832	9.07721e-68	225.957	pfam00003	7tm_3	 - 	cl02802
Q#4 - >Monodelphis_domestica_1	superfamily	425415	584	832	9.07721e-68	225.957	cl02802	7tm_3 superfamily	 - 	 - 
Q#4 - >Monodelphis_domestica_1	non-specific	320409	590	837	2.51412e-64	217.125	cd15282	7tmC_CaSR	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320407	592	839	4.09391e-63	213.877	cd15280	7tmC_V2R-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320091	590	838	5.38091e-60	204.778	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320416	591	838	4.38732e-54	188.399	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380598	33	481	3.50209e-53	192.73	cd06375	PBP1_mGluR_groupII	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320417	591	837	6.4136e-47	168.316	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320174	591	837	9.94734e-45	161.924	cd15046	7tmC_TAS1R	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	specific	426045	74	477	1.10321e-44	164.078	pfam01094	ANF_receptor	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320600	589	837	1.50927e-40	150.071	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320414	591	837	1.98157e-40	149.45	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320173	590	838	2.43363e-40	149.318	cd15045	7tmC_mGluRs	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320415	592	837	7.58737e-40	148.011	cd15288	7tmC_TAS1R2	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380599	34	473	1.88218e-39	153.035	cd06376	PBP1_mGluR_groupIII	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320563	590	837	3.17699e-39	146.227	cd15447	7tmC_mGluR2	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320412	591	838	4.212e-39	145.858	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380597	27	474	2.28639e-38	149.801	cd06374	PBP1_mGluR_groupI	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320411	590	837	1.05208e-37	141.909	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320564	590	837	2.11823e-37	140.853	cd15448	7tmC_mGluR3	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380490	37	306	2.79035e-31	124.725	cd04509	PBP1_ABC_transporter_GPCR_C-like	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380493	38	370	5.2108e-26	110.2	cd06269	PBP1_glutamate_receptors-like	 - 	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320569	590	845	2.52096e-24	103.571	cd15453	7tmC_mGluR6	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320413	589	843	1.37973e-23	101.418	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320568	590	859	1.88247e-23	102.366	cd15452	7tmC_mGluR4	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320566	592	837	1.96824e-21	94.666	cd15450	7tmC_mGluR5	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320565	591	837	3.8961e-21	93.9251	cd15449	7tmC_mGluR1	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	320570	590	845	1.10575e-18	87.7662	cd15454	7tmC_mGluR8	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380645	73	304	1.69e-18	88.4394	cd19990	PBP1_GABAb_receptor_plant	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380589	38	225	1.99116e-18	88.4561	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320567	590	845	2.20538e-18	87.0003	cd15451	7tmC_mGluR7	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380569	76	222	1.04463e-17	84.9229	cd06346	PBP1_ABC_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	specific	429539	516	569	1.39597e-17	77.3706	pfam07562	NCD3G	 - 	cl08456
Q#4 - >Monodelphis_domestica_1	superfamily	429539	516	569	1.39597e-17	77.3706	cl08456	NCD3G superfamily	 - 	 - 
Q#4 - >Monodelphis_domestica_1	non-specific	380492	81	311	5.46992e-16	79.6785	cd06268	PBP1_ABC_transporter_LIVBP-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320175	592	836	2.66954e-15	76.8301	cd15047	7tmC_GABA-B-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380593	76	284	2.02883e-13	73.0488	cd06370	PBP1_SAP_GC-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380565	81	243	1.14866e-11	67.1662	cd06342	PBP1_ABC_LIVBP-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380556	81	243	7.17661e-11	64.8763	cd06333	PBP1_ABC_RPA1789-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380639	140	221	1.12137e-10	63.7769	cd19984	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380575	80	303	2.50206e-10	63.5286	cd06352	PBP1_NPR_GC-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	223755	81	251	5.18866e-10	62.0713	COG0683	LivK	C	cl43238
Q#4 - >Monodelphis_domestica_1	superfamily	223755	81	251	5.18866e-10	62.0713	cl43238	LivK superfamily	C	 - 
Q#4 - >Monodelphis_domestica_1	non-specific	380570	81	220	2.13467e-09	60.2487	cd06347	PBP1_ABC_LivK_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380563	81	291	1.45396e-08	57.5689	cd06340	PBP1_ABC_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380602	123	316	3.75982e-08	56.5781	cd06379	PBP1_iGluR_NMDA_NR1	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320420	592	837	8.41873e-08	54.1417	cd15293	7tmC_GPR158-like	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380567	71	253	4.25984e-07	52.998	cd06344	PBP1_ABC_HAAT-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380635	139	224	6.36322e-07	52.2248	cd19980	PBP1_ABC_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380558	139	225	1.32008e-06	51.4558	cd06335	PBP1_ABC_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380636	81	222	7.64561e-06	48.8264	cd19981	PBP1_ABC_HAAT-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320404	592	802	1.65649e-05	47.4221	cd15277	7tmC_RAIG3_GPRC5C	 - 	cl28897
Q#4 - >Monodelphis_domestica_1	non-specific	380477	37	277	2.67401e-05	46.8783	cd01391	Periplasmic_Binding_Protein_type1	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380641	81	222	3.59404e-05	46.851	cd19986	PBP1_ABC_HAAT-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380640	142	276	4.69105e-05	46.4996	cd19985	PBP1_ABC_HAAT-like	NC	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380643	140	228	6.86487e-05	45.73	cd19988	PBP1_ABC_HAAT-like	NC	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380568	81	251	0.000177043	44.9485	cd06345	PBP1_ABC_ligand_binding-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	433225	81	235	0.000183279	44.5716	pfam13458	Peripla_BP_6	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380566	142	237	0.000279237	44.0963	cd06343	PBP1_ABC_ligand_binding-like	NC	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380590	163	222	0.00145663	41.8403	cd06367	PBP1_iGluR_NMDA	NC	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	380553	81	228	0.00216986	41.392	cd06330	PBP1_As_SBP-like	C	cl10011
Q#4 - >Monodelphis_domestica_1	non-specific	320171	590	801	0.00415341	39.8567	cd15043	7tmC_RAIG_GPRC5	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320408	311	560	4.46922e-129	380.275	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	superfamily	452889	311	560	4.46922e-129	380.275	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#5 - >Phascolarctos_cinereus_1	non-specific	320172	312	560	2.84419e-95	293.606	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320410	323	559	4.05707e-66	217.529	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320409	312	559	8.76571e-60	200.562	cd15282	7tmC_CaSR	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	specific	425415	306	554	7.30306e-57	192.059	pfam00003	7tm_3	 - 	cl02802
Q#5 - >Phascolarctos_cinereus_1	superfamily	425415	306	554	7.30306e-57	192.059	cl02802	7tm_3 superfamily	 - 	 - 
Q#5 - >Phascolarctos_cinereus_1	non-specific	380584	15	224	9.69395e-57	197.209	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#5 - >Phascolarctos_cinereus_1	superfamily	447875	15	224	9.69395e-57	197.209	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#5 - >Phascolarctos_cinereus_1	non-specific	320407	323	561	9.8781e-55	187.298	cd15280	7tmC_V2R-like	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320091	323	560	4.06789e-49	172.036	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320416	327	560	1.17834e-48	170.68	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320417	324	559	7.33581e-44	157.53	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320174	323	559	1.84087e-37	139.968	cd15046	7tmC_TAS1R	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320600	311	559	1.86282e-35	134.277	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320414	327	559	6.5658e-34	129.804	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320173	312	560	9.12349e-33	126.591	cd15045	7tmC_mGluRs	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320563	323	559	3.24496e-30	119.649	cd15447	7tmC_mGluR2	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320412	323	560	1.17197e-29	117.738	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320564	312	559	8.42006e-29	115.43	cd15448	7tmC_mGluR3	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320411	323	559	9.37852e-29	115.33	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320415	323	559	1.58528e-28	114.499	cd15288	7tmC_TAS1R2	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	380573	13	123	1.60618e-23	102.374	cd06350	PBP1_GPCR_family_C-like	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380586	12	116	3.35788e-21	96.6075	cd06363	PBP1_taste_receptor	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	320569	323	567	1.35822e-20	92.0147	cd15453	7tmC_mGluR6	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320413	323	565	7.21318e-20	89.8622	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	specific	429539	238	291	2.03065e-18	79.2966	pfam07562	NCD3G	 - 	cl08456
Q#5 - >Phascolarctos_cinereus_1	superfamily	429539	238	291	2.03065e-18	79.2966	cl08456	NCD3G superfamily	 - 	 - 
Q#5 - >Phascolarctos_cinereus_1	non-specific	320568	323	565	1.19753e-17	84.6469	cd15452	7tmC_mGluR4	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320566	323	559	1.7368e-17	82.3397	cd15450	7tmC_mGluR5	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	380587	13	123	1.14866e-16	83.0747	cd06364	PBP1_CaSR	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	320565	323	559	1.76973e-16	79.6727	cd15449	7tmC_mGluR1	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320570	323	567	6.91187e-16	78.9066	cd15454	7tmC_mGluR8	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320567	312	567	1.69962e-15	77.7556	cd15451	7tmC_mGluR7	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	380585	25	123	9.19503e-13	70.7852	cd06362	PBP1_mGluR	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	320175	323	558	5.01007e-11	63.7334	cd15047	7tmC_GABA-B-like	 - 	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	380588	24	116	5.14691e-11	65.3571	cd06365	PBP1_pheromone_receptor	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380598	25	123	6.40547e-08	55.5989	cd06375	PBP1_mGluR_groupII	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	426045	24	123	7.41313e-08	54.6816	pfam01094	ANF_receptor	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380490	25	119	4.31264e-06	48.8404	cd04509	PBP1_ABC_transporter_GPCR_C-like	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380597	3	123	1.45512e-05	47.7233	cd06374	PBP1_mGluR_groupI	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380599	25	123	1.54291e-05	47.8753	cd06376	PBP1_mGluR_groupIII	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	380589	25	123	0.00464039	39.921	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#5 - >Phascolarctos_cinereus_1	non-specific	276911	239	285	0.00651955	37.3778	cd13406	TNFRSF4	C	cl22855
Q#5 - >Phascolarctos_cinereus_1	superfamily	451430	239	285	0.00651955	37.3778	cl22855	TNFRSF superfamily	C	 - 
Q#5 - >Phascolarctos_cinereus_1	non-specific	320404	378	524	0.00825933	38.5625	cd15277	7tmC_RAIG3_GPRC5C	N	cl28897
Q#5 - >Phascolarctos_cinereus_1	non-specific	320420	324	559	0.00900267	38.3485	cd15293	7tmC_GPR158-like	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	specific	380584	37	503	0	630.173	cd06361	PBP1_GPC6A-like	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	superfamily	447875	37	503	0	630.173	cl10011	Periplasmic_Binding_Protein_type1 superfamily	 - 	 - 
Q#6 - >Sarcophilus_harrisii_1	non-specific	320408	589	838	8.25351e-138	411.477	cd15281	7tmC_GPRC6A	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	superfamily	452889	589	838	8.25351e-138	411.477	cl28897	7tm_GPCRs superfamily	 - 	 - 
Q#6 - >Sarcophilus_harrisii_1	non-specific	380586	31	503	2.30875e-104	330.424	cd06363	PBP1_taste_receptor	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320172	590	837	8.19577e-103	320.185	cd15044	7tmC_V2R_AA_sensing_receptor-like	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	380587	37	503	2.10254e-94	306.105	cd06364	PBP1_CaSR	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	380573	37	342	7.74496e-90	289.581	cd06350	PBP1_GPCR_family_C-like	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	380585	34	474	5.13585e-76	256.066	cd06362	PBP1_mGluR	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320410	592	837	1.07612e-70	234.478	cd15283	7tmC_V2R_pheromone	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	specific	425415	584	832	5.18939e-66	220.949	pfam00003	7tm_3	 - 	cl02802
Q#6 - >Sarcophilus_harrisii_1	superfamily	425415	584	832	5.18939e-66	220.949	cl02802	7tm_3 superfamily	 - 	 - 
Q#6 - >Sarcophilus_harrisii_1	non-specific	380588	37	493	3.90373e-65	226.371	cd06365	PBP1_pheromone_receptor	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320409	590	838	8.32075e-64	215.584	cd15282	7tmC_CaSR	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320407	592	839	1.07556e-61	209.64	cd15280	7tmC_V2R-like	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320091	590	838	1.53132e-58	200.926	cd13953	7tm_classC_mGluR-like	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320416	594	837	7.62212e-53	184.932	cd15289	7tmC_TAS1R1	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	380598	33	481	2.69422e-51	187.337	cd06375	PBP1_mGluR_groupII	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320417	591	837	4.06104e-47	168.701	cd15290	7tmC_TAS1R3	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	specific	426045	75	477	2.22945e-44	162.923	pfam01094	ANF_receptor	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320174	591	838	1.04338e-42	156.146	cd15046	7tmC_TAS1R	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320600	589	838	4.84383e-40	148.53	cd15934	7tmC_mGluRs_group2_3	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320414	591	838	7.62488e-39	145.212	cd15287	7tmC_TAS1R2a-like	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	380599	34	481	7.80923e-39	151.109	cd06376	PBP1_mGluR_groupIII	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	380597	27	474	3.54561e-38	149.416	cd06374	PBP1_mGluR_groupI	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320173	590	837	2.05167e-37	140.844	cd15045	7tmC_mGluRs	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320412	591	837	3.55446e-37	140.08	cd15285	7tmC_mGluR_group1	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320415	592	838	1.102e-36	138.766	cd15288	7tmC_TAS1R2	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320563	590	838	2.82313e-34	131.975	cd15447	7tmC_mGluR2	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320564	590	838	3.93655e-34	131.608	cd15448	7tmC_mGluR3	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320411	590	838	8.99975e-34	130.353	cd15284	7tmC_mGluR_group2	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	380490	38	306	3.16368e-32	127.806	cd04509	PBP1_ABC_transporter_GPCR_C-like	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	380493	76	389	8.25805e-26	109.429	cd06269	PBP1_glutamate_receptors-like	 - 	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320569	590	845	6.33715e-23	99.7187	cd15453	7tmC_mGluR6	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320413	590	843	5.64818e-21	93.7142	cd15286	7tmC_mGluR_group3	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320565	591	837	3.00121e-20	91.2287	cd15449	7tmC_mGluR1	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	320568	590	843	1.01865e-19	91.1953	cd15452	7tmC_mGluR4	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	non-specific	380589	76	245	1.18148e-19	92.3081	cd06366	PBP1_GABAb_receptor	C	cl10011
Q#6 - >Sarcophilus_harrisii_1	non-specific	320566	592	837	1.42413e-19	89.2732	cd15450	7tmC_mGluR5	 - 	cl28897
Q#6 - >Sarcophilus_harrisii_1	specific	429539	516	569	4.69811e-19	81.2225	pfam07562	NCD3G	 - 	cl08456
