species_key	repeat_event_key	exon_index	exon_pos_median	length_median	repeat_class_family	repeat_name	supporting_assemblies	callable_assemblies	support_fraction	species_repeat_confidence	support_accessions
Muntiacus gongshanensis	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_020226025.1
Muntiacus muntjak	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_008782695.1
Muntiacus muntjak	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006409035.1;GCA_008782695.1;GCA_008931205.1
Muntiacus muntjak	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006409035.1;GCA_008782695.1;GCA_008931205.1
Muntiacus reevesi	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	6	6	1.0	HIGH	GCA_006408525.1;GCA_008787405.2;GCA_020226045.1;GCA_963930625.1;GCA_963930625.2;GCF_963930625.1
Muntiacus reevesi	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	6	6	1.0	HIGH	GCA_006408525.1;GCA_008787405.2;GCA_020226045.1;GCA_963930625.1;GCA_963930625.2;GCF_963930625.1
Muntiacus reevesi	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	6	6	1.0	HIGH	GCA_006408525.1;GCA_008787405.2;GCA_020226045.1;GCA_963930625.1;GCA_963930625.2;GCF_963930625.1
Muntiacus vaginalis	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_039877825.1
Muntiacus vaginalis	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_039877825.1
Muntiacus vaginalis	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_039877825.1
Nanger dama	repeat_insertion|ex4|pos~40|unclassified	4	38.0	692.5	unclassified	unclassified	2	2	1.0	HIGH	GCA_019969365.1;GCA_917880005.1
Nanger granti	repeat_insertion|ex4|pos~40|unclassified	4	38.0	693.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408635.1
Neotragus moschatus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	879.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410615.1
Neotragus pygmaeus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	1373.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410875.1
Nilgiritragus hylocrius	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_004026825.1
Odocoileus hemionus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	812.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_003697985.1;GCA_004115125.1;GCA_042767535.1;GCA_042768445.1
Odocoileus hemionus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_003697985.1;GCA_004115125.1;GCA_042767535.1;GCA_042768445.1
Odocoileus hemionus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_003697985.1;GCA_004115125.1;GCA_042767535.1;GCA_042768445.1
Odocoileus virginianus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	809.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_002102435.1;GCA_014726795.1;GCA_023699985.4;GCF_002102435.1;GCF_023699985.2
Odocoileus virginianus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_002102435.1;GCA_014726795.1;GCA_023699985.4;GCF_002102435.1;GCF_023699985.2
Odocoileus virginianus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	5	5	1.0	HIGH	GCA_002102435.1;GCA_014726795.1;GCA_023699985.4;GCF_002102435.1;GCF_023699985.2
Oreamnos americanus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	147.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_009758055.1
Oreamnos americanus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_009758055.1
Oreotragus oreotragus	repeat_insertion|ex3|pos~580|unclassified	3	584.0	1208.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410675.1
Oreotragus oreotragus	repeat_insertion|ex4|pos~40|unclassified	4	35.0	719.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410675.1
Oryx dammah	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_014754425.2;GCF_014754425.2
Oryx gazella	repeat_insertion|ex3|pos~400|simple/tandem	3	407.0	1394.0	simple/tandem	tandem-repeat-like	2	2	1.0	HIGH	GCA_003945745.1;GCA_006410575.1
Oryx gazella	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_003945745.1;GCA_006410575.1
Ovibos moschatus	repeat_insertion|ex3|pos~400|unclassified	3	407.0	146.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_021462335.1;GCA_022533635.2;GCA_041156055.1
Ovibos moschatus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	711.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_021462335.1;GCA_022533635.2;GCA_041156055.1
Ovis ammon	repeat_insertion|ex3|pos~400|unclassified	3	407.0	174.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006410595.1;GCA_028583565.1;GCA_045269445.1
Ovis ammon polii x Ovis aries	repeat_insertion|ex3|pos~400|unclassified	3	407.0	177.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_023701655.1;GCA_023701675.1
Ovis aries	repeat_insertion|ex3|pos~400|unclassified	3	407.0	150.0	unclassified	unclassified	93	94	0.9893617021276596	HIGH	GCA_000298735.2;GCA_000765115.1;GCA_002742125.1;GCA_011170295.1;GCA_016772045.2;GCA_017524585.1;GCA_018804185.1;GCA_019145175.1;GCA_021325815.1;GCA_021325835.1;GCA_021325855.1;GCA_021325865.1;GCA_021325875.1;GCA_021325905.1;GCA_021325935.1;GCA_021326705.1;GCA_021326735.1;GCA_021326975.1;GCA_021327145.1;GCA_021327245.1;GCA_021327285.1;GCA_021327305.1;GCA_021327315.1;GCA_021327335.1;GCA_021327355.1;GCA_021327375.1;GCA_021327395.1;GCA_021327435.1;GCA_021328935.1;GCA_021328945.1;GCA_021328955.1;GCA_021328995.1;GCA_022244695.1;GCA_022244705.1;GCA_022416685.1;GCA_022416695.1;GCA_022416725.1;GCA_022416745.1;GCA_022416755.1;GCA_022416775.1;GCA_022416785.1;GCA_022416915.1;GCA_022432825.1;GCA_022432835.1;GCA_022432845.1;GCA_022538005.1;GCA_022702505.1;GCA_022702665.1;GCA_024222135.1;GCA_024222175.1;GCA_024222185.1;GCA_024222265.1;GCA_024256485.1;GCA_024256505.1;GCA_033439445.1;GCA_040259355.1;GCA_040543055.1;GCA_040805955.1;GCA_040836155.1;GCA_041121725.1;GCA_050084895.1;GCA_050916685.1;GCA_057332215.1;GCA_057332225.1;GCA_965363385.1;GCA_965363425.1;GCA_965363435.1;GCA_965363445.1;GCA_965363705.1;GCA_965363785.1;GCA_965364765.1;GCA_965364855.1;GCA_965365915.1;GCA_965637775.1;GCA_984506415.1;GCA_984506435.1;GCA_984506445.1;GCA_984506455.1;GCA_984506465.1;GCA_984506635.1;GCA_984506805.1;GCA_984506815.1;GCA_984506965.1;GCA_984507005.1;GCA_984513465.1;GCA_984514235.1;GCA_984514435.1;GCA_984514685.1;GCA_984538235.1;GCF_000298735.2;GCF_000765115.1;GCF_002742125.1;GCF_016772045.2
Ovis canadensis	repeat_insertion|ex3|pos~400|unclassified	3	403.0	150.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_001039535.1;GCA_004026945.1;GCA_042477335.2;GCF_042477335.2
Ovis nivicola	repeat_insertion|ex3|pos~400|unclassified	3	403.0	150.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_903231385.1
Ovis orientalis	repeat_insertion|ex3|pos~400|unclassified	3	403.0	150.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_014523465.1
Ovis vignei	repeat_insertion|ex3|pos~400|unclassified	3	405.0	142.5	unclassified	unclassified	2	2	1.0	HIGH	GCA_050084595.1;GCA_053525375.1
Pantholops hodgsonii	repeat_insertion|ex3|pos~400|unclassified	3	407.0	135.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_000400835.1;GCA_040182635.1;GCF_000400835.1
Philantomba maxwellii	repeat_insertion|ex3|pos~400|unclassified	3	407.0	132.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410695.1
Philantomba maxwellii	repeat_insertion|ex4|pos~40|unclassified	4	38.0	853.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410695.1
Philantomba maxwellii	repeat_insertion|ex6|pos~200|unclassified	6	203.0	9.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410695.1
Pseudois nayaur	repeat_insertion|ex3|pos~400|unclassified	3	407.0	156.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_003182575.1
Pseudois nayaur	repeat_insertion|ex4|pos~40|unclassified	4	38.0	714.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_003182575.1
Pseudoryx nghetinhensis	repeat_insertion|ex4|pos~40|unclassified	4	35.0	719.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_050436925.1
Rangifer tarandus	repeat_insertion|ex2|pos~240|unclassified	2	237.0	810.0	unclassified	unclassified	8	8	1.0	HIGH	GCA_004026565.1;GCA_014898785.1;GCA_019903745.2;GCA_902712895.1;GCA_949782905.1;GCA_951394145.2;GCA_963422255.1;GCA_965153185.1
Rangifer tarandus	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	9	9	1.0	HIGH	GCA_004026565.1;GCA_014898785.1;GCA_019903745.2;GCA_022457185.1;GCA_902712895.1;GCA_949782905.1;GCA_951394145.2;GCA_963422255.1;GCA_965153185.1
Rangifer tarandus	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	9	9	1.0	HIGH	GCA_004026565.1;GCA_014898785.1;GCA_019903745.2;GCA_022457185.1;GCA_902712895.1;GCA_949782905.1;GCA_951394145.2;GCA_963422255.1;GCA_965153185.1
Redunca redunca	repeat_insertion|ex3|pos~400|unclassified	3	407.0	135.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410935.1
Rucervus eldii	repeat_insertion|ex2|pos~240|unclassified	2	237.0	811.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_034233915.1;GCA_034234005.1;GCA_054824845.1;GCA_054824865.1
Rucervus eldii	repeat_insertion|ex3|pos~160|unclassified	3	166.0	171.0	unclassified	unclassified	1	4	0.25	LOW	GCA_034234005.1
Rucervus eldii	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	3	4	0.75	HIGH	GCA_034233915.1;GCA_054824845.1;GCA_054824865.1
Rucervus eldii	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	4	4	1.0	HIGH	GCA_034233915.1;GCA_034234005.1;GCA_054824845.1;GCA_054824865.1
Rupicapra rupicapra	repeat_insertion|ex3|pos~400|unclassified	3	407.0	141.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_963981305.1
Rusa alfredi	repeat_insertion|ex2|pos~240|unclassified	2	237.0	1004.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_038501445.1
Rusa alfredi	repeat_insertion|ex3|pos~200|unclassified	3	195.0	251.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_038501445.1
Rusa alfredi	repeat_insertion|ex3|pos~260|unclassified	3	267.0	15.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_038501445.1
Saiga tatarica	repeat_insertion|ex4|pos~40|unclassified	4	38.0	710.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_004024985.1
Sylvicapra grimmia	repeat_insertion|ex3|pos~400|unclassified	3	407.0	138.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408735.1
Sylvicapra grimmia	repeat_insertion|ex4|pos~40|unclassified	4	38.0	713.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006408735.1
Syncerus caffer	repeat_insertion|ex4|pos~40|unclassified	4	38.0	716.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006408785.2;GCA_902825105.1
Tragelaphus buxtoni	repeat_insertion|ex3|pos~140|simple/tandem	3	141.0	167.0	simple/tandem	tandem-repeat-like	1	1	1.0	MEDIUM	GCA_006411685.1
Tragelaphus buxtoni	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006411685.1
Tragelaphus buxtoni	repeat_insertion|ex6|pos~740|simple/tandem	6	740.0	155.0	simple/tandem	tandem-repeat-like	1	1	1.0	MEDIUM	GCA_006411685.1
Tragelaphus eurycerus	repeat_insertion|ex4|pos~40|unclassified	4	38.0	709.0	unclassified	unclassified	2	3	0.6666666666666666	HIGH	GCA_040438115.1;GCA_935064755.1
Tragelaphus eurycerus	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	3	3	1.0	HIGH	GCA_006410755.1;GCA_040438115.1;GCA_935064755.1
Tragelaphus imberbis	repeat_insertion|ex4|pos~40|unclassified	4	38.0	709.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410775.1
Tragelaphus imberbis	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410775.1
Tragelaphus oryx	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006416875.1
Tragelaphus spekii	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006411015.1
Tragelaphus strepsiceros	repeat_insertion|ex6|pos~280|unclassified	6	284.0	17.0	unclassified	unclassified	1	1	1.0	MEDIUM	GCA_006410795.1
Tragulus javanicus	repeat_insertion|ex1|pos~80|unclassified	1	72.0	14.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_004024965.2;GCA_022457235.1
Tragulus kanchil	repeat_insertion|ex1|pos~80|unclassified	1	72.0	14.0	unclassified	unclassified	2	2	1.0	HIGH	GCA_006408655.1;GCA_022376925.1
