branch	parent	child	child_is_tip	branch_length	site	nt_distance	is_multi_hit
0	INTERNAL	13	0	37.3318	137	0	0
1	13	14	0	12.7335	137	0	0
2	14	Pteropus_alecto	1	11.9346	137	0	0
3	14	Pteropus_vampyrus	1	11.9346	137	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	137	0	0
5	INTERNAL	68	0	7	137	0	0
6	68	25	0	45.2	137	2	1
7	25	Saccopteryx_leptura	1	9.8	137	0	0
8	25	Saccopteryx_bilineata	1	9.8	137	0	0
9	68	47	0	3.68585	137	0	0
10	47	43	0	13.8141	137	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	137	0	0
12	43	34	0	9.73776	137	0	0
13	34	35	0	3.30694	137	0	0
14	35	37	0	6.6721	137	1	0
15	37	Sturnira_hondurensis	1	17.7832	137	0	0
16	37	Artibeus_jamaicensis	1	17.7832	137	0	0
17	35	36	0	13.2553	137	0	0
18	36	Phyllostomus_hastatus	1	11.2	137	0	0
19	36	Phyllostomus_discolor	1	11.2	137	0	0
20	34	Desmodus_rotundus	1	27.7622	137	0	0
21	47	63	0	5.51643	137	0	0
22	63	Molossus_molossus	1	45.7977	137	0	0
23	63	48	0	0	137	0	0
24	48	56	0	17.0412	137	0	0
25	56	57	0	10.5153	137	0	0
26	57	51	0	6.8221	137	0	0
27	51	33	0	0.83774	137	0	0
28	33	Myotis_brandtii	1	10.5814	137	0	0
29	33	Myotis_yumanensis	1	10.5814	137	0	0
30	51	Myotis_lucifugus	1	11.4192	137	0	0
31	57	49	0	4.99638	137	1	0
32	49	Myotis_davidii	1	13.2449	137	0	0
33	49	50	0	0.1449	137	0	0
34	50	Myotis_daubentonii	1	13.1	137	0	0
35	50	Myotis_myotis	1	13.1	137	0	0
36	56	60	0	2.9687	137	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	137	0	0
38	60	Eptesicus_fuscus	1	25.7878	137	0	0
39	48	Miniopterus_natalensis	1	45.7977	137	0	0
0	INTERNAL	13	0	37.3318	138	0	0
1	13	14	0	12.7335	138	0	0
2	14	Pteropus_alecto	1	11.9346	138	0	0
3	14	Pteropus_vampyrus	1	11.9346	138	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	138	0	0
5	INTERNAL	68	0	7	138	0	0
6	68	25	0	45.2	138	0	0
7	25	Saccopteryx_leptura	1	9.8	138	0	0
8	25	Saccopteryx_bilineata	1	9.8	138	0	0
9	68	47	0	3.68585	138	0	0
10	47	43	0	13.8141	138	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	138	0	0
12	43	34	0	9.73776	138	0	0
13	34	35	0	3.30694	138	0	0
14	35	37	0	6.6721	138	0	0
15	37	Sturnira_hondurensis	1	17.7832	138	0	0
16	37	Artibeus_jamaicensis	1	17.7832	138	0	0
17	35	36	0	13.2553	138	0	0
18	36	Phyllostomus_hastatus	1	11.2	138	0	0
19	36	Phyllostomus_discolor	1	11.2	138	0	0
20	34	Desmodus_rotundus	1	27.7622	138	0	0
21	47	63	0	5.51643	138	0	0
22	63	Molossus_molossus	1	45.7977	138	1	0
23	63	48	0	0	138	0	0
24	48	56	0	17.0412	138	0	0
25	56	57	0	10.5153	138	0	0
26	57	51	0	6.8221	138	0	0
27	51	33	0	0.83774	138	0	0
28	33	Myotis_brandtii	1	10.5814	138	0	0
29	33	Myotis_yumanensis	1	10.5814	138	0	0
30	51	Myotis_lucifugus	1	11.4192	138	0	0
31	57	49	0	4.99638	138	0	0
32	49	Myotis_davidii	1	13.2449	138	0	0
33	49	50	0	0.1449	138	0	0
34	50	Myotis_daubentonii	1	13.1	138	0	0
35	50	Myotis_myotis	1	13.1	138	0	0
36	56	60	0	2.9687	138	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	138	0	0
38	60	Eptesicus_fuscus	1	25.7878	138	0	0
39	48	Miniopterus_natalensis	1	45.7977	138	0	0
0	INTERNAL	13	0	37.3318	139	0	0
1	13	14	0	12.7335	139	0	0
2	14	Pteropus_alecto	1	11.9346	139	0	0
3	14	Pteropus_vampyrus	1	11.9346	139	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	139	0	0
5	INTERNAL	68	0	7	139	0	0
6	68	25	0	45.2	139	0	0
7	25	Saccopteryx_leptura	1	9.8	139	0	0
8	25	Saccopteryx_bilineata	1	9.8	139	0	0
9	68	47	0	3.68585	139	0	0
10	47	43	0	13.8141	139	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	139	0	0
12	43	34	0	9.73776	139	0	0
13	34	35	0	3.30694	139	0	0
14	35	37	0	6.6721	139	0	0
15	37	Sturnira_hondurensis	1	17.7832	139	0	0
16	37	Artibeus_jamaicensis	1	17.7832	139	0	0
17	35	36	0	13.2553	139	0	0
18	36	Phyllostomus_hastatus	1	11.2	139	0	0
19	36	Phyllostomus_discolor	1	11.2	139	0	0
20	34	Desmodus_rotundus	1	27.7622	139	0	0
21	47	63	0	5.51643	139	0	0
22	63	Molossus_molossus	1	45.7977	139	0	0
23	63	48	0	0	139	0	0
24	48	56	0	17.0412	139	0	0
25	56	57	0	10.5153	139	0	0
26	57	51	0	6.8221	139	0	0
27	51	33	0	0.83774	139	0	0
28	33	Myotis_brandtii	1	10.5814	139	0	0
29	33	Myotis_yumanensis	1	10.5814	139	0	0
30	51	Myotis_lucifugus	1	11.4192	139	0	0
31	57	49	0	4.99638	139	0	0
32	49	Myotis_davidii	1	13.2449	139	0	0
33	49	50	0	0.1449	139	0	0
34	50	Myotis_daubentonii	1	13.1	139	0	0
35	50	Myotis_myotis	1	13.1	139	0	0
36	56	60	0	2.9687	139	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	139	0	0
38	60	Eptesicus_fuscus	1	25.7878	139	0	0
39	48	Miniopterus_natalensis	1	45.7977	139	0	0
0	INTERNAL	13	0	37.3318	140	0	0
1	13	14	0	12.7335	140	0	0
2	14	Pteropus_alecto	1	11.9346	140	0	0
3	14	Pteropus_vampyrus	1	11.9346	140	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	140	0	0
5	INTERNAL	68	0	7	140	0	0
6	68	25	0	45.2	140	0	0
7	25	Saccopteryx_leptura	1	9.8	140	0	0
8	25	Saccopteryx_bilineata	1	9.8	140	0	0
9	68	47	0	3.68585	140	0	0
10	47	43	0	13.8141	140	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	140	0	0
12	43	34	0	9.73776	140	0	0
13	34	35	0	3.30694	140	0	0
14	35	37	0	6.6721	140	0	0
15	37	Sturnira_hondurensis	1	17.7832	140	1	0
16	37	Artibeus_jamaicensis	1	17.7832	140	0	0
17	35	36	0	13.2553	140	0	0
18	36	Phyllostomus_hastatus	1	11.2	140	0	0
19	36	Phyllostomus_discolor	1	11.2	140	0	0
20	34	Desmodus_rotundus	1	27.7622	140	0	0
21	47	63	0	5.51643	140	0	0
22	63	Molossus_molossus	1	45.7977	140	0	0
23	63	48	0	0	140	0	0
24	48	56	0	17.0412	140	0	0
25	56	57	0	10.5153	140	0	0
26	57	51	0	6.8221	140	0	0
27	51	33	0	0.83774	140	0	0
28	33	Myotis_brandtii	1	10.5814	140	0	0
29	33	Myotis_yumanensis	1	10.5814	140	0	0
30	51	Myotis_lucifugus	1	11.4192	140	0	0
31	57	49	0	4.99638	140	1	0
32	49	Myotis_davidii	1	13.2449	140	0	0
33	49	50	0	0.1449	140	0	0
34	50	Myotis_daubentonii	1	13.1	140	0	0
35	50	Myotis_myotis	1	13.1	140	0	0
36	56	60	0	2.9687	140	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	140	0	0
38	60	Eptesicus_fuscus	1	25.7878	140	0	0
39	48	Miniopterus_natalensis	1	45.7977	140	1	0
0	INTERNAL	13	0	37.3318	141	0	0
1	13	14	0	12.7335	141	0	0
2	14	Pteropus_alecto	1	11.9346	141	0	0
3	14	Pteropus_vampyrus	1	11.9346	141	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	141	0	0
5	INTERNAL	68	0	7	141	0	0
6	68	25	0	45.2	141	0	0
7	25	Saccopteryx_leptura	1	9.8	141	0	0
8	25	Saccopteryx_bilineata	1	9.8	141	1	0
9	68	47	0	3.68585	141	0	0
10	47	43	0	13.8141	141	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	141	0	0
12	43	34	0	9.73776	141	0	0
13	34	35	0	3.30694	141	0	0
14	35	37	0	6.6721	141	0	0
15	37	Sturnira_hondurensis	1	17.7832	141	0	0
16	37	Artibeus_jamaicensis	1	17.7832	141	0	0
17	35	36	0	13.2553	141	0	0
18	36	Phyllostomus_hastatus	1	11.2	141	0	0
19	36	Phyllostomus_discolor	1	11.2	141	0	0
20	34	Desmodus_rotundus	1	27.7622	141	0	0
21	47	63	0	5.51643	141	0	0
22	63	Molossus_molossus	1	45.7977	141	0	0
23	63	48	0	0	141	0	0
24	48	56	0	17.0412	141	0	0
25	56	57	0	10.5153	141	0	0
26	57	51	0	6.8221	141	0	0
27	51	33	0	0.83774	141	0	0
28	33	Myotis_brandtii	1	10.5814	141	0	0
29	33	Myotis_yumanensis	1	10.5814	141	0	0
30	51	Myotis_lucifugus	1	11.4192	141	0	0
31	57	49	0	4.99638	141	0	0
32	49	Myotis_davidii	1	13.2449	141	0	0
33	49	50	0	0.1449	141	0	0
34	50	Myotis_daubentonii	1	13.1	141	0	0
35	50	Myotis_myotis	1	13.1	141	0	0
36	56	60	0	2.9687	141	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	141	0	0
38	60	Eptesicus_fuscus	1	25.7878	141	0	0
39	48	Miniopterus_natalensis	1	45.7977	141	0	0
0	INTERNAL	13	0	37.3318	142	0	0
1	13	14	0	12.7335	142	0	0
2	14	Pteropus_alecto	1	11.9346	142	0	0
3	14	Pteropus_vampyrus	1	11.9346	142	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	142	0	0
5	INTERNAL	68	0	7	142	0	0
6	68	25	0	45.2	142	0	0
7	25	Saccopteryx_leptura	1	9.8	142	0	0
8	25	Saccopteryx_bilineata	1	9.8	142	0	0
9	68	47	0	3.68585	142	0	0
10	47	43	0	13.8141	142	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	142	1	0
12	43	34	0	9.73776	142	0	0
13	34	35	0	3.30694	142	0	0
14	35	37	0	6.6721	142	0	0
15	37	Sturnira_hondurensis	1	17.7832	142	0	0
16	37	Artibeus_jamaicensis	1	17.7832	142	0	0
17	35	36	0	13.2553	142	0	0
18	36	Phyllostomus_hastatus	1	11.2	142	0	0
19	36	Phyllostomus_discolor	1	11.2	142	0	0
20	34	Desmodus_rotundus	1	27.7622	142	0	0
21	47	63	0	5.51643	142	0	0
22	63	Molossus_molossus	1	45.7977	142	0	0
23	63	48	0	0	142	0	0
24	48	56	0	17.0412	142	0	0
25	56	57	0	10.5153	142	0	0
26	57	51	0	6.8221	142	0	0
27	51	33	0	0.83774	142	0	0
28	33	Myotis_brandtii	1	10.5814	142	0	0
29	33	Myotis_yumanensis	1	10.5814	142	0	0
30	51	Myotis_lucifugus	1	11.4192	142	0	0
31	57	49	0	4.99638	142	0	0
32	49	Myotis_davidii	1	13.2449	142	0	0
33	49	50	0	0.1449	142	0	0
34	50	Myotis_daubentonii	1	13.1	142	0	0
35	50	Myotis_myotis	1	13.1	142	0	0
36	56	60	0	2.9687	142	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	142	0	0
38	60	Eptesicus_fuscus	1	25.7878	142	0	0
39	48	Miniopterus_natalensis	1	45.7977	142	0	0
0	INTERNAL	13	0	37.3318	143	0	0
1	13	14	0	12.7335	143	0	0
2	14	Pteropus_alecto	1	11.9346	143	0	0
3	14	Pteropus_vampyrus	1	11.9346	143	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	143	0	0
5	INTERNAL	68	0	7	143	0	0
6	68	25	0	45.2	143	0	0
7	25	Saccopteryx_leptura	1	9.8	143	0	0
8	25	Saccopteryx_bilineata	1	9.8	143	0	0
9	68	47	0	3.68585	143	0	0
10	47	43	0	13.8141	143	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	143	0	0
12	43	34	0	9.73776	143	0	0
13	34	35	0	3.30694	143	0	0
14	35	37	0	6.6721	143	0	0
15	37	Sturnira_hondurensis	1	17.7832	143	0	0
16	37	Artibeus_jamaicensis	1	17.7832	143	0	0
17	35	36	0	13.2553	143	0	0
18	36	Phyllostomus_hastatus	1	11.2	143	0	0
19	36	Phyllostomus_discolor	1	11.2	143	0	0
20	34	Desmodus_rotundus	1	27.7622	143	0	0
21	47	63	0	5.51643	143	0	0
22	63	Molossus_molossus	1	45.7977	143	0	0
23	63	48	0	0	143	0	0
24	48	56	0	17.0412	143	0	0
25	56	57	0	10.5153	143	0	0
26	57	51	0	6.8221	143	0	0
27	51	33	0	0.83774	143	0	0
28	33	Myotis_brandtii	1	10.5814	143	0	0
29	33	Myotis_yumanensis	1	10.5814	143	0	0
30	51	Myotis_lucifugus	1	11.4192	143	0	0
31	57	49	0	4.99638	143	0	0
32	49	Myotis_davidii	1	13.2449	143	0	0
33	49	50	0	0.1449	143	0	0
34	50	Myotis_daubentonii	1	13.1	143	0	0
35	50	Myotis_myotis	1	13.1	143	0	0
36	56	60	0	2.9687	143	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	143	0	0
38	60	Eptesicus_fuscus	1	25.7878	143	0	0
39	48	Miniopterus_natalensis	1	45.7977	143	0	0
0	INTERNAL	13	0	37.3318	144	0	0
1	13	14	0	12.7335	144	0	0
2	14	Pteropus_alecto	1	11.9346	144	0	0
3	14	Pteropus_vampyrus	1	11.9346	144	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	144	0	0
5	INTERNAL	68	0	7	144	0	0
6	68	25	0	45.2	144	0	0
7	25	Saccopteryx_leptura	1	9.8	144	0	0
8	25	Saccopteryx_bilineata	1	9.8	144	0	0
9	68	47	0	3.68585	144	0	0
10	47	43	0	13.8141	144	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	144	0	0
12	43	34	0	9.73776	144	0	0
13	34	35	0	3.30694	144	0	0
14	35	37	0	6.6721	144	0	0
15	37	Sturnira_hondurensis	1	17.7832	144	0	0
16	37	Artibeus_jamaicensis	1	17.7832	144	0	0
17	35	36	0	13.2553	144	0	0
18	36	Phyllostomus_hastatus	1	11.2	144	0	0
19	36	Phyllostomus_discolor	1	11.2	144	0	0
20	34	Desmodus_rotundus	1	27.7622	144	0	0
21	47	63	0	5.51643	144	0	0
22	63	Molossus_molossus	1	45.7977	144	0	0
23	63	48	0	0	144	0	0
24	48	56	0	17.0412	144	0	0
25	56	57	0	10.5153	144	0	0
26	57	51	0	6.8221	144	0	0
27	51	33	0	0.83774	144	0	0
28	33	Myotis_brandtii	1	10.5814	144	0	0
29	33	Myotis_yumanensis	1	10.5814	144	0	0
30	51	Myotis_lucifugus	1	11.4192	144	0	0
31	57	49	0	4.99638	144	0	0
32	49	Myotis_davidii	1	13.2449	144	0	0
33	49	50	0	0.1449	144	0	0
34	50	Myotis_daubentonii	1	13.1	144	0	0
35	50	Myotis_myotis	1	13.1	144	0	0
36	56	60	0	2.9687	144	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	144	0	0
38	60	Eptesicus_fuscus	1	25.7878	144	1	0
39	48	Miniopterus_natalensis	1	45.7977	144	0	0
0	INTERNAL	13	0	37.3318	145	0	0
1	13	14	0	12.7335	145	0	0
2	14	Pteropus_alecto	1	11.9346	145	0	0
3	14	Pteropus_vampyrus	1	11.9346	145	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	145	0	0
5	INTERNAL	68	0	7	145	0	0
6	68	25	0	45.2	145	0	0
7	25	Saccopteryx_leptura	1	9.8	145	0	0
8	25	Saccopteryx_bilineata	1	9.8	145	0	0
9	68	47	0	3.68585	145	0	0
10	47	43	0	13.8141	145	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	145	0	0
12	43	34	0	9.73776	145	0	0
13	34	35	0	3.30694	145	0	0
14	35	37	0	6.6721	145	0	0
15	37	Sturnira_hondurensis	1	17.7832	145	0	0
16	37	Artibeus_jamaicensis	1	17.7832	145	0	0
17	35	36	0	13.2553	145	0	0
18	36	Phyllostomus_hastatus	1	11.2	145	0	0
19	36	Phyllostomus_discolor	1	11.2	145	0	0
20	34	Desmodus_rotundus	1	27.7622	145	0	0
21	47	63	0	5.51643	145	0	0
22	63	Molossus_molossus	1	45.7977	145	0	0
23	63	48	0	0	145	0	0
24	48	56	0	17.0412	145	0	0
25	56	57	0	10.5153	145	0	0
26	57	51	0	6.8221	145	0	0
27	51	33	0	0.83774	145	0	0
28	33	Myotis_brandtii	1	10.5814	145	0	0
29	33	Myotis_yumanensis	1	10.5814	145	0	0
30	51	Myotis_lucifugus	1	11.4192	145	0	0
31	57	49	0	4.99638	145	0	0
32	49	Myotis_davidii	1	13.2449	145	0	0
33	49	50	0	0.1449	145	0	0
34	50	Myotis_daubentonii	1	13.1	145	0	0
35	50	Myotis_myotis	1	13.1	145	0	0
36	56	60	0	2.9687	145	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	145	0	0
38	60	Eptesicus_fuscus	1	25.7878	145	0	0
39	48	Miniopterus_natalensis	1	45.7977	145	0	0
0	INTERNAL	13	0	37.3318	146	0	0
1	13	14	0	12.7335	146	0	0
2	14	Pteropus_alecto	1	11.9346	146	0	0
3	14	Pteropus_vampyrus	1	11.9346	146	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	146	0	0
5	INTERNAL	68	0	7	146	0	0
6	68	25	0	45.2	146	0	0
7	25	Saccopteryx_leptura	1	9.8	146	0	0
8	25	Saccopteryx_bilineata	1	9.8	146	0	0
9	68	47	0	3.68585	146	0	0
10	47	43	0	13.8141	146	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	146	0	0
12	43	34	0	9.73776	146	0	0
13	34	35	0	3.30694	146	0	0
14	35	37	0	6.6721	146	0	0
15	37	Sturnira_hondurensis	1	17.7832	146	0	0
16	37	Artibeus_jamaicensis	1	17.7832	146	0	0
17	35	36	0	13.2553	146	0	0
18	36	Phyllostomus_hastatus	1	11.2	146	0	0
19	36	Phyllostomus_discolor	1	11.2	146	0	0
20	34	Desmodus_rotundus	1	27.7622	146	0	0
21	47	63	0	5.51643	146	0	0
22	63	Molossus_molossus	1	45.7977	146	0	0
23	63	48	0	0	146	0	0
24	48	56	0	17.0412	146	0	0
25	56	57	0	10.5153	146	0	0
26	57	51	0	6.8221	146	0	0
27	51	33	0	0.83774	146	0	0
28	33	Myotis_brandtii	1	10.5814	146	0	0
29	33	Myotis_yumanensis	1	10.5814	146	0	0
30	51	Myotis_lucifugus	1	11.4192	146	0	0
31	57	49	0	4.99638	146	0	0
32	49	Myotis_davidii	1	13.2449	146	0	0
33	49	50	0	0.1449	146	0	0
34	50	Myotis_daubentonii	1	13.1	146	0	0
35	50	Myotis_myotis	1	13.1	146	0	0
36	56	60	0	2.9687	146	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	146	0	0
38	60	Eptesicus_fuscus	1	25.7878	146	0	0
39	48	Miniopterus_natalensis	1	45.7977	146	0	0
0	INTERNAL	13	0	37.3318	147	0	0
1	13	14	0	12.7335	147	0	0
2	14	Pteropus_alecto	1	11.9346	147	0	0
3	14	Pteropus_vampyrus	1	11.9346	147	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	147	0	0
5	INTERNAL	68	0	7	147	0	0
6	68	25	0	45.2	147	0	0
7	25	Saccopteryx_leptura	1	9.8	147	0	0
8	25	Saccopteryx_bilineata	1	9.8	147	0	0
9	68	47	0	3.68585	147	0	0
10	47	43	0	13.8141	147	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	147	0	0
12	43	34	0	9.73776	147	0	0
13	34	35	0	3.30694	147	0	0
14	35	37	0	6.6721	147	0	0
15	37	Sturnira_hondurensis	1	17.7832	147	0	0
16	37	Artibeus_jamaicensis	1	17.7832	147	1	0
17	35	36	0	13.2553	147	0	0
18	36	Phyllostomus_hastatus	1	11.2	147	0	0
19	36	Phyllostomus_discolor	1	11.2	147	0	0
20	34	Desmodus_rotundus	1	27.7622	147	0	0
21	47	63	0	5.51643	147	0	0
22	63	Molossus_molossus	1	45.7977	147	0	0
23	63	48	0	0	147	0	0
24	48	56	0	17.0412	147	0	0
25	56	57	0	10.5153	147	0	0
26	57	51	0	6.8221	147	0	0
27	51	33	0	0.83774	147	0	0
28	33	Myotis_brandtii	1	10.5814	147	0	0
29	33	Myotis_yumanensis	1	10.5814	147	0	0
30	51	Myotis_lucifugus	1	11.4192	147	0	0
31	57	49	0	4.99638	147	0	0
32	49	Myotis_davidii	1	13.2449	147	0	0
33	49	50	0	0.1449	147	0	0
34	50	Myotis_daubentonii	1	13.1	147	0	0
35	50	Myotis_myotis	1	13.1	147	0	0
36	56	60	0	2.9687	147	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	147	0	0
38	60	Eptesicus_fuscus	1	25.7878	147	0	0
39	48	Miniopterus_natalensis	1	45.7977	147	0	0
0	INTERNAL	13	0	37.3318	148	0	0
1	13	14	0	12.7335	148	0	0
2	14	Pteropus_alecto	1	11.9346	148	0	0
3	14	Pteropus_vampyrus	1	11.9346	148	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	148	0	0
5	INTERNAL	68	0	7	148	0	0
6	68	25	0	45.2	148	0	0
7	25	Saccopteryx_leptura	1	9.8	148	0	0
8	25	Saccopteryx_bilineata	1	9.8	148	0	0
9	68	47	0	3.68585	148	0	0
10	47	43	0	13.8141	148	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	148	0	0
12	43	34	0	9.73776	148	0	0
13	34	35	0	3.30694	148	0	0
14	35	37	0	6.6721	148	0	0
15	37	Sturnira_hondurensis	1	17.7832	148	0	0
16	37	Artibeus_jamaicensis	1	17.7832	148	0	0
17	35	36	0	13.2553	148	0	0
18	36	Phyllostomus_hastatus	1	11.2	148	0	0
19	36	Phyllostomus_discolor	1	11.2	148	0	0
20	34	Desmodus_rotundus	1	27.7622	148	0	0
21	47	63	0	5.51643	148	0	0
22	63	Molossus_molossus	1	45.7977	148	0	0
23	63	48	0	0	148	0	0
24	48	56	0	17.0412	148	0	0
25	56	57	0	10.5153	148	0	0
26	57	51	0	6.8221	148	0	0
27	51	33	0	0.83774	148	0	0
28	33	Myotis_brandtii	1	10.5814	148	0	0
29	33	Myotis_yumanensis	1	10.5814	148	0	0
30	51	Myotis_lucifugus	1	11.4192	148	0	0
31	57	49	0	4.99638	148	0	0
32	49	Myotis_davidii	1	13.2449	148	0	0
33	49	50	0	0.1449	148	0	0
34	50	Myotis_daubentonii	1	13.1	148	0	0
35	50	Myotis_myotis	1	13.1	148	0	0
36	56	60	0	2.9687	148	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	148	0	0
38	60	Eptesicus_fuscus	1	25.7878	148	0	0
39	48	Miniopterus_natalensis	1	45.7977	148	0	0
0	INTERNAL	13	0	37.3318	149	0	0
1	13	14	0	12.7335	149	0	0
2	14	Pteropus_alecto	1	11.9346	149	0	0
3	14	Pteropus_vampyrus	1	11.9346	149	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	149	0	0
5	INTERNAL	68	0	7	149	0	0
6	68	25	0	45.2	149	1	0
7	25	Saccopteryx_leptura	1	9.8	149	0	0
8	25	Saccopteryx_bilineata	1	9.8	149	0	0
9	68	47	0	3.68585	149	0	0
10	47	43	0	13.8141	149	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	149	0	0
12	43	34	0	9.73776	149	0	0
13	34	35	0	3.30694	149	0	0
14	35	37	0	6.6721	149	0	0
15	37	Sturnira_hondurensis	1	17.7832	149	0	0
16	37	Artibeus_jamaicensis	1	17.7832	149	1	0
17	35	36	0	13.2553	149	0	0
18	36	Phyllostomus_hastatus	1	11.2	149	0	0
19	36	Phyllostomus_discolor	1	11.2	149	0	0
20	34	Desmodus_rotundus	1	27.7622	149	0	0
21	47	63	0	5.51643	149	0	0
22	63	Molossus_molossus	1	45.7977	149	0	0
23	63	48	0	0	149	0	0
24	48	56	0	17.0412	149	0	0
25	56	57	0	10.5153	149	0	0
26	57	51	0	6.8221	149	0	0
27	51	33	0	0.83774	149	0	0
28	33	Myotis_brandtii	1	10.5814	149	0	0
29	33	Myotis_yumanensis	1	10.5814	149	0	0
30	51	Myotis_lucifugus	1	11.4192	149	0	0
31	57	49	0	4.99638	149	0	0
32	49	Myotis_davidii	1	13.2449	149	0	0
33	49	50	0	0.1449	149	0	0
34	50	Myotis_daubentonii	1	13.1	149	0	0
35	50	Myotis_myotis	1	13.1	149	0	0
36	56	60	0	2.9687	149	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	149	0	0
38	60	Eptesicus_fuscus	1	25.7878	149	0	0
39	48	Miniopterus_natalensis	1	45.7977	149	0	0
0	INTERNAL	13	0	37.3318	150	0	0
1	13	14	0	12.7335	150	0	0
2	14	Pteropus_alecto	1	11.9346	150	0	0
3	14	Pteropus_vampyrus	1	11.9346	150	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	150	0	0
5	INTERNAL	68	0	7	150	0	0
6	68	25	0	45.2	150	0	0
7	25	Saccopteryx_leptura	1	9.8	150	0	0
8	25	Saccopteryx_bilineata	1	9.8	150	0	0
9	68	47	0	3.68585	150	0	0
10	47	43	0	13.8141	150	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	150	0	0
12	43	34	0	9.73776	150	0	0
13	34	35	0	3.30694	150	0	0
14	35	37	0	6.6721	150	0	0
15	37	Sturnira_hondurensis	1	17.7832	150	0	0
16	37	Artibeus_jamaicensis	1	17.7832	150	0	0
17	35	36	0	13.2553	150	0	0
18	36	Phyllostomus_hastatus	1	11.2	150	0	0
19	36	Phyllostomus_discolor	1	11.2	150	0	0
20	34	Desmodus_rotundus	1	27.7622	150	0	0
21	47	63	0	5.51643	150	0	0
22	63	Molossus_molossus	1	45.7977	150	0	0
23	63	48	0	0	150	0	0
24	48	56	0	17.0412	150	0	0
25	56	57	0	10.5153	150	0	0
26	57	51	0	6.8221	150	0	0
27	51	33	0	0.83774	150	0	0
28	33	Myotis_brandtii	1	10.5814	150	0	0
29	33	Myotis_yumanensis	1	10.5814	150	0	0
30	51	Myotis_lucifugus	1	11.4192	150	0	0
31	57	49	0	4.99638	150	0	0
32	49	Myotis_davidii	1	13.2449	150	0	0
33	49	50	0	0.1449	150	0	0
34	50	Myotis_daubentonii	1	13.1	150	0	0
35	50	Myotis_myotis	1	13.1	150	0	0
36	56	60	0	2.9687	150	0	0
37	60	Pipistrellus_kuhlii	1	25.7878	150	0	0
38	60	Eptesicus_fuscus	1	25.7878	150	0	0
39	48	Miniopterus_natalensis	1	45.7977	150	1	0
0	INTERNAL	13	0	37.3318	151	0	0
1	13	14	0	12.7335	151	0	0
2	14	Pteropus_alecto	1	11.9346	151	0	0
3	14	Pteropus_vampyrus	1	11.9346	151	0	0
4	13	Rousettus_aegyptiacus	1	24.6682	151	0	0
5	INTERNAL	68	0	7	151	0	0
6	68	25	0	45.2	151	0	0
7	25	Saccopteryx_leptura	1	9.8	151	0	0
8	25	Saccopteryx_bilineata	1	9.8	151	0	0
9	68	47	0	3.68585	151	0	0
10	47	43	0	13.8141	151	0	0
11	43	Pteronotus_mesoamericanus	1	37.5	151	0	0
12	43	34	0	9.73776	151	0	0
13	34	35	0	3.30694	151	0	0
14	35	37	0	6.6721	151	0	0
15	37	Sturnira_hondurensis	1	17.7832	151	0	0
16	37	Artibeus_jamaicensis	1	17.7832	151	0	0
17	35	36	0	13.2553	151	0	0
18	36	Phyllostomus_hastatus	1	11.2	151	0	0
19	36	Phyllostomus_discolor	1	11.2	151	0	0
20	34	Desmodus_rotundus	1	27.7622	151	0	0
21	47	63	0	5.51643	151	0	0
